District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
593.6603,146,Ahafo Ano North,3101,43070,46329,617,47956,158.819783,94285,Ashanti,78,0.631559312,3324,593,0,0.798368703,0.649035005,0.741169735,46,71,80,65
597.244,202,Asutifi South,2770,10742,25299,723,28285,89.718775,53584,Brong Ahafo,78,0.653088607,3192,597,0,0.794073849,0.575109861,0.840523913,20,81,79,58
649.0714,143,Techiman Municipal,1762,20576,76056,715,71732,227.691437,147788,Brong Ahafo,26,1.131407876,3367,649,0,0.828351122,0.672731391,0.904408859,14,87,83,67
389.4094,147,Techiman North,1643,9216,30302,725,28766,151.686117,59068,Brong Ahafo,32,1.130721795,2893,389,0,0.823612682,0.694959519,0.830536257,16,80,82,69
85.6604,224,Ga East,247,6881,74755,303,72987,1724.740954,147742,Greater Accra,1,0.57776314,4809,86,0,0.949208633,0.836814546,0.992336995,5,96,95,84
139.6743,,Accra Metropolis,0,40791,864151,304,800935,11921.20526,1665086,Greater Accra,0,0.57776314,9736,140,0.000296359,0.903814606,0.761895764,1.000184179,2,96,90,76
1071.1552,225,Bawku West,8948,63315,48920,907,45114,87.787465,94034,Upper East,86,2.255526572,3131,1073,4.09E-06,0.530896564,0.352478654,0.879476404,67,85,53,35
341.8381,248,Ga South,894,61347,248085,301,237558,1420.681311,485643,Greater Accra,14,0.57776314,3067,342,0.248802939,0.819058008,0.690028041,0.965102122,13,93,82,69
299.5778,226,Ga West,282,19230,112046,302,107742,733.65917,219788,Greater Accra,9,0.57776314,2559,300,0,0.893129533,0.75241963,0.975238707,9,94,89,75
2298.3457,103,Banda,9066,15735,10004,726,10388,8.872469,20392,Brong Ahafo,211,1.611578304,4642,2297,1.266639798,0.74544315,0.477136887,0.889439555,77,86,75,48
1031.27,79,Jaman North,2877,15413,43170,712,39889,80.540499,83059,Brong Ahafo,102,1.683764482,5743,1030,0,0.796690133,0.424409991,0.964507024,19,93,80,42
1829.8496,104,Tain,3219,33362,44502,713,43492,48.088105,87994,Brong Ahafo,92,1.132771494,4644,1828,0,0.800793635,0.540714159,0.931199348,38,90,80,54
576.5771,190,Sekyere Afram Plains,2075,18638,34421,624,30981,113.431491,65402,Ashanti,87,0.624365032,4131,577,0,0.840491087,0.70781363,0.865433913,28,83,84,71
3525.0702,204,Sekyere Afram Plains North,7803,16763,13351,630,15184,8.094874,28535,Ashanti,196,0.891004911,4311,3529,2.88E-05,0.743779518,0.557548049,0.817533253,59,79,74,56
1125.6914,215,Asante Akim North,3775,17961,35455,629,33731,61.460894,69186,Ashanti,95,0.621931325,3084,1127,0.004623907,0.819748068,0.694463298,0.875340363,26,84,82,69
300.238,214,Asante Akim Central Municipal,1221,8089,37566,610,33942,238.171051,71508,Ashanti,42,0.622817957,1892,300,0,0.852279104,0.757853118,0.919738939,11,89,85,76
48.9972,252,Ga Central Municipal,659,11624,21969,311,20985,876.66234,42954,Greater Accra,2,0.57776314,3609,49,0.092822678,0.94197444,0.801859824,0.998837167,27,96,94,80
