Cholera_Cases,District,Distance_From_Main_Road,ID,Region,Time_To_Access_UrbanCentre,Water_Scarcity,Distance_to_waterbody,percpoorpersons,percwatercoverage,perc_men_lit,perc_women_lit,District_C,flood_freq,DistCode,water_scarcity
227,Asutifi North,2279,703,Brong Ahafo,93,1.064033011,4653,35,82,85,69,Kenyase,0 to 7 days of Flooding,703,Moderate
146,Ahafo Ano North,3101,617,Ashanti,78,0.631559312,3324,46,71,80,65,Tepa,0 to 7 days of Flooding,617,Low
202,Asutifi South,2770,723,Brong Ahafo,78,0.653088607,3192,20,81,79,58,Hwidiem,0 to 7 days of Flooding,723,Low
143,Techiman Municipal,1762,715,Brong Ahafo,26,1.131407876,3367,14,87,83,67,Techiman,0 to 7 days of Flooding,715,Moderate
147,Techiman North,1643,725,Brong Ahafo,32,1.130721795,2893,16,80,82,69,Tuobodum,0 to 7 days of Flooding,725,Moderate
224,Ga East,247,303,Greater Accra,1,0.57776314,4809,5,96,95,84,Abokobi,0 to 7 days of Flooding,303,Low
NA,Accra Metropolis,0,304,Greater Accra,0,0.57776314,9736,2,96,90,76,Accra,0 to 7 days of Flooding,304,Low
225,Bawku West,8948,907,Upper East,86,2.255526572,3131,67,85,53,35,Zebilla,0 to 7 days of Flooding,907,Severe
248,Ga South,894,301,Greater Accra,14,0.57776314,3067,13,93,82,69,Mallam,0 to 7 days of Flooding,301,Low
226,Ga West,282,302,Greater Accra,9,0.57776314,2559,9,94,89,75,Amasaman,0 to 7 days of Flooding,302,Low
103,Banda,9066,726,Brong Ahafo,211,1.611578304,4642,77,86,75,48,Banda,1 to 2 weeks of Flooding,726,Significant
79,Jaman North,2877,712,Brong Ahafo,102,1.683764482,5743,19,93,80,42,Sampa,0 to 7 days of Flooding,712,Significant
104,Tain,3219,713,Brong Ahafo,92,1.132771494,4644,38,90,80,54,Nsawkaw,0 to 7 days of Flooding,713,Moderate
190,Sekyere Afram Plains,2075,624,Ashanti,87,0.624365032,4131,28,83,84,71,Kumawu,0 to 7 days of Flooding,624,Low
204,Sekyere Afram Plains North,7803,630,Ashanti,196,0.891004911,4311,59,79,74,56,Drobonso,0 to 7 days of Flooding,630,Low
215,Asante Akim North,3775,629,Ashanti,95,0.621931325,3084,26,84,82,69,Agogo,0 to 7 days of Flooding,629,Low
214,Asante Akim Central Municipal,1221,610,Ashanti,42,0.622817957,1892,11,89,85,76,Konongo,0 to 7 days of Flooding,610,Low
252,Ga Central Municipal,659,311,Greater Accra,2,0.57776314,3609,27,96,94,80,Sowutuom,0 to 7 days of Flooding,311,Low
129,Dormaa East,1759,705,Brong Ahafo,45,1.127850413,3237,35,90,86,62,Wamfie,0 to 7 days of Flooding,705,Moderate
189,Krachi West,4790,416,Volta,79,1.439132721,2806,41,79,65,39,Kete Krachi,More than 1 month of Flooding,416,Moderate
173,Krachi Nchumuru,3955,425,Volta,117,2.102015218,3699,52,78,50,30,Chinderi,1 to 2 weeks of Flooding,425,Severe
136,Agotime Ziope,1669,407,Volta,63,0.566477902,2861,65,86,67,51,Kpetoe,0 to 7 days of Flooding,407,Low
144,Adaklu,2681,421,Volta,71,0.805194858,2076,83,95,79,56,Adaklu Waya,0 to 7 days of Flooding,421,Low
NA,Akatsi South,2125,405,Volta,33,0.578838041,2395,11,94,78,62,Akatsi,0 to 7 days of Flooding,405,Low
173,Akatsi North,3578,420,Volta,65,0.565655291,2470,24,87,70,59,Ave Dakpa,0 to 7 days of Flooding,420,Low
128,Ho Municipal,1344,408,Volta,34,0.675754711,3081,21,93,85,72,Ho,0 to 7 days of Flooding,408,Low
172,Hohoe Municipal,1529,411,Volta,39,0.68129408,2332,31,92,87,78,Hohoe,0 to 7 days of Flooding,411,Low
166,Ho West,3340,422,Volta,77,1.088146857,2518,39,86,84,72,Dzolo Kpuita,0 to 7 days of Flooding,422,Moderate
147,Afadzato South,1381,423,Volta,42,0.967363324,2788,37,89,88,75,Ve Golokwati,0 to 7 days of Flooding,423,Low
79,Berekum,2478,710,Brong Ahafo,38,1.135338373,3066,27,94,90,76,Berekum,0 to 7 days of Flooding,710,Moderate
124,North Dayi,3804,424,Volta,90,1.1267941,1150,40,86,85,75,Anfoega,More than 1 month of Flooding,424,Moderate
137,Kpando Municipal,2036,410,Volta,72,1.126884074,1712,32,92,87,76,Kpando,More than 1 month of Flooding,410,Moderate
192,North Tongu,4458,419,Volta,81,1.179037912,3225,51,77,79,53,Battor,0 to 7 days of Flooding,419,Moderate
NA,Central Tongu,2245,406,Volta,74,0.733819776,2457,33,90,79,51,Adidome,0 to 7 days of Flooding,406,Low
216,Nsawam Adoagyiri,692,505,Eastern,10,0.57776314,3127,6,93,88,76,Nsawam,0 to 7 days of Flooding,505,Low
224,Akwapem South,683,523,Eastern,18,0.57776314,3041,16,84,82,64,Aburi,0 to 7 days of Flooding,523,Low
244,Denkyembour,1310,525,Eastern,55,0.56710363,2169,5,91,82,75,Akwatia,0 to 7 days of Flooding,525,Low
227,Kwaebibirem,1393,514,Eastern,81,0.566955864,2779,16,89,80,65,Kade,0 to 7 days of Flooding,514,Low
175,Kwahu Afram Plains South,6921,526,Eastern,188,0.641327442,3523,58,55,69,51,Tease,2 weeks to 1 month of Flooding,526,Low
142,Kwahu Afram Plains North,8287,521,Eastern,232,1.03284555,1333,31,40,55,40,Donkorkrom,More than 1 month of Flooding,521,Moderate
79,Jaman South,2793,711,Brong Ahafo,66,1.143310214,4070,20,88,84,55,Japekrom,0 to 7 days of Flooding,711,Moderate
214,Suhum Municipal,874,504,Eastern,19,0.572547846,4270,6,81,82,64,Suhum,0 to 7 days of Flooding,504,Low
222,Ayensuano,1463,524,Eastern,29,0.576600133,4085,30,73,76,59,Coaltar Teacher Mante,0 to 7 days of Flooding,524,Low
236,East Akim,798,513,Eastern,22,0.566101762,2141,10,90,87,75,Kibi,0 to 7 days of Flooding,513,Low
234,Upper West Akim,953,522,Eastern,24,0.574441315,3173,25,80,73,62,Adeiso,0 to 7 days of Flooding,522,Low
247,West Akim,1462,503,Eastern,37,0.567569593,4646,11,86,78,70,Asamankese,0 to 7 days of Flooding,503,Low
79,Dormaa Municipal,3252,704,Brong Ahafo,76,1.132317008,4264,11,87,84,63,Domaa Ahenkro,0 to 7 days of Flooding,704,Moderate
89,Dormaa West,1410,724,Brong Ahafo,86,1.254832218,2735,10,80,84,44,Nkrankwanta,0 to 7 days of Flooding,724,Moderate
107,Nadowli-Kaleo,1388,1005,Upper West,42,2.25229443,3281,68,92,44,29,Nadawli,0 to 7 days of Flooding,1005,Severe
161,Daffiama Bussie,4728,1010,Upper West,89,2.329385755,2825,72,94,42,32,Issa,0 to 7 days of Flooding,1010,Severe
97,Lawra,2054,1009,Upper West,51,2.254498005,2279,72,83,45,27,Lawra,0 to 7 days of Flooding,1009,Severe
103,Wa Municipal,1360,1002,Upper West,22,2.252869743,3278,34,95,85,68,Wa,0 to 7 days of Flooding,1002,Severe
137,Sunyani West,1776,709,Brong Ahafo,38,1.129711501,3601,29,93,89,72,Odumase,0 to 7 days of Flooding,709,Moderate
95,Nandom,2560,1011,Upper West,67,2.254498005,5260,72,90,46,29,Nandom,0 to 7 days of Flooding,1011,Severe
202,Talensi,7494,905,Upper East,65,2.255518913,3454,56,93,62,37,Tongo,0 to 7 days of Flooding,905,Severe
251,Nabdam,3557,911,Upper East,50,2.255518913,2803,63,94,63,42,Nangode,0 to 7 days of Flooding,911,Severe
102,Builsa South,5465,910,Upper East,84,3.215606421,3262,84,88,36,22,Fumbisi,0 to 7 days of Flooding,910,Severe
108,Builsa North,4083,901,Upper East,52,3.379938602,3380,54,94,46,26,Sandema,0 to 7 days of Flooding,901,Severe
115,Binduri,5919,912,Upper East,44,2.255531788,1991,43,77,53,37,Binduri,0 to 7 days of Flooding,912,Severe
187,Asokore Mampong Municipal,0,628,Ashanti,0,0.821193635,8131,3,96,94,85,Asokore Mampong,0 to 7 days of Flooding,628,Low
195,Kma,37,614,Ashanti,0,0.821193635,6905,5,97,95,88,Kumasi,0 to 7 days of Flooding,614,Low
193,Ejisu Juaben,837,611,Ashanti,24,0.650420171,3731,21,89,87,77,Ejisu,0 to 7 days of Flooding,611,Low
211,Wassa Amenfi East,2105,110,Western,137,0.563778654,3140,26,75,72,59,Wassa Akropong,0 to 7 days of Flooding,110,Low
150,Asunafo North,2590,702,Brong Ahafo,120,1.126856446,5237,12,73,81,47,Goaso,0 to 7 days of Flooding,702,Moderate
NA,Tema Metropolis,258,308,Greater Accra,0,0.57776314,3681,8,95,93,85,Tema,0 to 7 days of Flooding,308,Low
NA,Ashaiman,0,307,Greater Accra,0,0.57776314,6472,4,100,99,90,Ashiaman,0 to 7 days of Flooding,307,Low
238,Kpone Katamanso,408,314,Greater Accra,8,0.729009296,6833,3,93,90,82,Kpone,0 to 7 days of Flooding,314,Low
112,Tamale North Sub Metro,1837,811,Northern,24,2.284120321,3056,24,93,66,47,Tamale,0 to 7 days of Flooding,811,Severe
163,Sagnerigu,930,823,Northern,9,2.282173892,2543,29,94,75,56,Sagnerigu,0 to 7 days of Flooding,823,Severe
224,Adenta,0,305,Greater Accra,1,0.57776314,10266,10,95,94,82,Adenta,0 to 7 days of Flooding,305,Low
176,Nkoranza North,4777,717,Brong Ahafo,78,1.130692772,3767,31,81,80,58,Busunya,0 to 7 days of Flooding,717,Moderate
173,Kintampo South,3813,721,Brong Ahafo,50,1.130774845,3879,78,68,78,65,Jema,0 to 7 days of Flooding,721,Moderate
180,Tano North,2321,707,Brong Ahafo,57,1.129680634,3562,21,87,85,72,Duayaw Nkwanta,0 to 7 days of Flooding,707,Moderate
NA,Ketu North,792,404,Volta,32,0.565655291,1688,23,89,75,59,Dzodze,0 to 7 days of Flooding,404,Low
NA,Ketu South,1663,403,Volta,13,0.565655291,5454,15,94,86,75,Denu,0 to 7 days of Flooding,403,Low
NA,Keta Municipal,2053,402,Volta,59,0.910330065,1387,14,88,75,64,Keta,More than 1 month of Flooding,402,Low
162,Kadjebi,1870,414,Volta,66,1.132243273,4103,66,93,81,53,Kadjebi,0 to 7 days of Flooding,414,Moderate
